name,address,lat,lon,full_address
三笠,三笠市,43.246604,141.8044452,日本、〒068-2165 北海道三笠市岡山１０５６
スタープラザ　芦別,芦別市,43.525652,142.1890762,日本、〒075-0014 北海道芦別市北４条東１丁目１
南ふらの,空知郡南富良野町,43.1641598,142.5685703,日本、〒079-2400 北海道空知郡南富良野町幾寅６８７
しらぬか恋問,白糠郡白糠町,42.9927701,144.1987141,日本、〒088-0562 北海道白糠郡白糠町恋問３丁目３番地１
びふか,中川郡美深町,44.5588409,142.3201455,日本、〒098-2362 北海道中川郡美深町大手３０７−１
江差,檜山郡江差町,41.8944201,140.1391509,日本、〒043-0024 北海道檜山郡江差町尾山町1−番地
望羊中山,虻田郡喜茂別町,42.8562367,141.0976534,日本、〒044-0223 北海道虻田郡喜茂別町川上３４５
えんべつ富士見,天塩郡遠別町,44.7144023,141.792425,日本、〒098-3534 北海道天塩郡遠別町富士見46−１
忠類,中川郡幕別町,42.5593854,143.3002944,日本、〒089-1701 北海道中川郡幕別町忠類白銀町384番地12
摩周温泉,川上郡弟子屈町,43.4924307,144.4476898,日本、〒088-3203 北海道川上郡弟子屈町湯の島３丁目５−５
おといねっぷ,中川郡音威子府村,44.7291201,142.2578651,日本、〒098-2501 北海道中川郡音威子府村字音威子府１５５
かみゆうべつ温泉チューリップの湯,紋別郡湧別町,44.1851185,143.595529,日本、〒099-6329 北海道紋別郡湧別町中湧別中町３０２０−１
いわない,岩内郡岩内町,42.9834586,140.5168083,日本、〒045-0003 北海道岩内郡岩内町万代４７−４
まるせっぷ,紋別郡遠軽町,43.99646389999999,143.3286608,日本、〒099-0207 北海道紋別郡遠軽町丸瀬布元町４２−２
厚岸グルメパーク,厚岸郡厚岸町,43.0575959,144.8440867,日本、〒088-1119 北海道厚岸郡厚岸町住の江２丁目２
サンフラワー北竜,雨竜郡北竜町,43.7514275,141.875517,日本、〒078-2511 北海道雨竜郡北竜町板谷１６３−２
みついし,日高郡新ひだか町,42.22092010000001,142.6346509,日本、〒059-3233 北海道日高郡新ひだか町三石鳧舞１６１−２
あっさぶ,檜山郡厚沢部町,41.9152242,140.2185874,日本、〒043-1112 北海道檜山郡厚沢部町緑町７２−１
よってけ！島牧,島牧郡島牧村,42.6865405,140.0129681,日本、〒048-0631 北海道島牧郡島牧村千走１１−１
てっくいランド大成,久遠郡せたな町,42.2079573,139.8812709,日本、〒043-0514 北海道久遠郡せたな町大成区平浜３７５
オホーツク紋別,紋別市,44.3281926,143.3749915,日本、〒094-0023 北海道紋別市元紋別１１−６
YOU･遊･もり,茅部郡森町,42.0990385,140.5682893,日本、〒049-2311 北海道茅部郡森町上台町３２６−１８
おんねゆ温泉,北見市,43.7547825,143.5007228,日本、〒091-0153 北海道北見市留辺蘂町松山１−４
ルート２２９元和台,爾志郡乙部町,42.0111589,140.1061888,日本、〒043-0114 北海道爾志郡乙部町元和１６９
ハウスヤルビ奈井江,空知郡奈井江町,43.433529,141.8886603,日本、〒079-0300 北海道空知郡奈井江町奈井江 28番地1
おびら鰊番屋,留萌郡小平町,44.139226,141.6758665,日本、〒078-3454 北海道留萌郡小平町字鬼鹿広富
マリーンアイランド岡島,枝幸郡枝幸町,44.8786503,142.6304258,日本、〒098-5802 北海道枝幸郡枝幸町岡島１９７８−１３
おこっぺ,紋別郡興部町,44.4693319,143.1166543,日本、〒098-1601 北海道紋別郡興部町興部１３２２−２１
阿寒丹頂の里,釧路市,43.1442905,144.145029,日本、〒085-0245 北海道釧路市阿寒町上阿寒２３線３６−１
おとふけ,河東郡音更町,42.9751667,143.1814582,日本、〒080-0346 北海道河東郡音更町 2番地 なつぞら
ピンネシリ,枝幸郡中頓別町,44.8769256,142.2136557,日本、〒098-5113 北海道枝幸郡中頓別町敏音知72番地7
